Feature1,Feature2,Relationship,Type,Strength,Notes
ClaimAmount,PatientIncome,Negative correlation potential,Statistical,Weak,"Higher income may have lower fraud? Check data"
ClaimAmount,ClaimLegitimacy,Strong predictive,Target,Strong,"Fraud claims may have systematic amount pattern"
PatientAge,DiagnosisCode,Medical necessity,Categorical,Medium,"Age should justify diagnosis"
ProcedureCode,ProviderSpecialty,Domain consistency,Domain,Strong,"Orthopedics should bill orthopedic procedures"
DiagnosisCode,ProcedureCode,Medical necessity,Domain,Strong,"Diagnosis must justify procedure"
ProviderLocation,ClaimAmount,Geographic cost variation,Statistical,Weak,"Location may affect cost"
ClaimType,ClaimAmount,Type cost,Statistical,Medium,"Inpatient typically higher than outpatient"
ClaimSubmissionMethod,ClaimStatus,Operational,Operational,Weak,"Online may have different approval rates"
Cluster,ClaimAmount,Derived grouping,Derived,Medium,"Cluster may capture amount groups"
PatientGender,ClaimLegitimacy,Potential bias check,Fairness,Weak,"Must audit for fairness"
ProviderSpecialty,FraudRate,Provider risk,Statistical,Medium,"Some specialties higher fraud in data"
ClaimDate,ClaimAmount,Temporal trend,Temporal,Weak,"Time drift possible"
PatientID,Claim count,Patient history,Relational,Medium,"Multiple claims per patient - potential fraud ring"
ProviderID,Claim count,Provider history,Relational,Strong,"Provider history crucial for fraud detection"
